filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00454202,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_us,false,false,0,none,true,2
0049b9cb,b89dfa23d172fe8c92528259a5a050d29496142c,e9362ff92bfa7fa9462f88fef3f7ce9ee3d0560a,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
005737d5,da2d12b85f66d60a4ae7104291418b90b99ff068,5695a9e630d9e4686d85f7c3336818661fc5cc37,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
005eb9cb,cb28198627d17cedb18098b159ebfc4d3761f179,d4c225f7673dcea8039467235f71e2a4c14faca1,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
0060a8e0,d4e54c93fd0566945f42b1ff59aca75dfa4a743e,cf4db48d1a227260672636066d651581760da78e,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
0061b17c,b40e53319b04c4b5d27d6ca0f9b1d17415cf0560,c87c97f334d0719209b56eb4f7059376baa9ed76,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
00746cd0,8f109f74e8f55ca1b1ef9e92493537c4d585b90d,f16fecee09f49d42f6d1d39250542cccd03f57c0,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
0075a8e0,a315361b746f8a213befd1988b3bbe7d1679161a,9b7bcbc75c08aea7544650490f1246b98bce3246,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
0076b17c,aca49e70cfd42188d5b55bbb69628251edaf435a,7c2b593b8d1d1fcf6a60d7d99b2f3fe8395022fc,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
007a861b,5adb2efc93b4bf083326d5fadccc72fba036b8b6,3f7bcb9706cd0b51da2f32784b05486308862fae,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,false,true,3,remarci_4x,false,0
007cab39,b71d12e7009c36bcbd45f406ba5bda91be1a561e,72c45216381aaf300a67313425376ad5db9f7aac,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
00896cd0,009755afc0b59af40372a1f53a56056d2041131d,0578680e7e12652b487f203a5f4f02caaac40992,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
0091ab39,90fb7b1abbe6851fbc7b508ae742c6a214a461af,77beca94eee1a27428126820ef0357525d7ebfdc,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us,false,true,3,remarci_4x,false,0
00b6209a,49df46b4408becac55582869186290bc143abf22,d3dc3a656803cce28a98238bb8f514595b3b55e5,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
00e11a3e,9caa98298f4619fb99015308e49a0d6e0dcd1668,9fcf2de3f2ab4cfa2d2a502acada0b110b249a7c,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\Shared\1080p,false,false,0,none,true,2
00fc60e2,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_us,false,false,0,none,true,2
